ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35007560;2017183327;9;C;E;D;E;D;D;D;D;D;D;D;D;D;D;D;D;B
35007560;2017183327;9;C;E;D;E;D;D;D;D;D;D;D;D;D;D;D;D;B
35007560;2017055442;9;C;E;D;E;D;D;D;D;D;D;D;D;D;D;D;D;B
35007778;2017325489;5;B;E;E;E;A;B;D;D;D;D;D;D;D;C;D;C;D
35007845;2017105409;9;B;B;A;C;C;B;B;A;B;B;C;B;A;C;B;C;B
35007845;2017304181;9;B;B;A;C;C;B;B;A;B;B;C;B;A;C;B;C;B
35007845;2017105410;9;A;C;C;C;B;C;C;B;C;C;C;D;D;D;D;D;D
35007845;2017304182;9;A;C;C;C;B;C;C;B;C;C;C;D;D;D;D;D;D
35029336;2017105615;9;C;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35029336;2017212193;9;C;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35029336;2017212194;9;C;C;C;C;C;D;D;D;D;D;C;C;C;C;D;D;D
35029336;2017119517;9;C;C;C;C;C;D;D;D;D;D;C;C;C;C;D;D;D
35029336;2017105616;9;D;D;C;E;B;C;C;C;C;C;C;C;C;C;C;D;B
35029336;2017219229;9;D;D;C;E;B;C;C;C;C;C;C;C;C;C;C;D;B
35029336;2017325710;9;D;D;C;E;B;C;C;C;C;C;C;C;C;C;C;D;B
35029336;2017283048;9;D;D;C;E;B;C;C;C;C;C;C;C;C;C;C;D;B
35029336;2017432306;9;D;D;C;E;B;C;C;C;C;C;C;C;C;C;C;D;B
35028800;2017062836;9;B;C;E;E;C;B;D;D;D;D;D;D;D;D;D;D;C
35028800;2017062835;9;C;D;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35028800;2017297230;9;C;D;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35028800;2017276051;9;C;D;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35028800;2017389815;9;A;D;C;D;D;C;D;D;B;D;A;D;D;D;D;D;C
35028800;2017183567;9;A;D;C;D;D;C;D;D;B;D;A;D;D;D;D;D;C
35028800;2017276050;9;A;D;C;D;D;C;D;D;B;D;A;D;D;D;D;D;C
35028800;2017389816;9;C;D;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35901295;2017148783;9;E;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35901295;2017014005;9;E;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35901295;2017404649;9;E;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35901295;2017120213;9;E;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35901295;2017325959;9;C;D;E;E;C;D;D;D;D;D;D;D;D;D;D;D;C
35901295;2017234088;9;C;D;E;E;C;D;D;D;D;D;D;D;D;D;D;D;C
